#######################################################
Attention, this Objectlist was created on 11.11.2017.
The IDs etc may change. It's just for reference.
#######################################################
COUNT OF VALUES: 67283
-969039264, 0, Aircraft, , Value_Type_Object, 0
0, 1, Step, Time step, Value_Type_float64, 0
0, 2, ShowProfile, Show vertical profile, Value_Type_sint32, 128
0, 3, ShowInfo, Show info, Value_Type_sint32, 128
0, 4, ShowFont, Show font, Value_Type_sint32, 128
0, 5, Cockpit, Cockpit Equipment, Value_Type_Object, 0
5, 6, DU1, Display Unit 1, Value_Type_Object, 0
6, 7, Display, Display failure, Value_Type_float32, 2
5, 8, DU2, Display Unit 2, Value_Type_Object, 0
8, 9, Display, Display failure, Value_Type_float32, 2
5, 10, DU3, Display Unit 3, Value_Type_Object, 0
10, 11, Display, Display failure, Value_Type_float32, 2
5, 12, DU4, Display Unit 4, Value_Type_Object, 0
12, 13, Display, Display failure, Value_Type_float32, 2
5, 14, DU5, Display Unit 5, Value_Type_Object, 0
14, 15, Display, Display failure, Value_Type_float32, 2
5, 16, DU6, Display Unit 6, Value_Type_Object, 0
16, 17, Display, Display failure, Value_Type_float32, 2
5, 18, MCDU1, Multipurpose Control and Display Unit 1, Value_Type_Object, 0
18, 19, Display, Display failure, Value_Type_float32, 2
18, 20, Line1, MCDU line select button 1, Value_Type_Object, 0
20, 21, Contacts, Button contacts failure, Value_Type_float32, 2
20, 22, Position, Button position, Value_Type_float32, 2
-969039264, 0, Aircraft, , Value_Type_Object, 0
0, 1, Step, Time step, Value_Type_float64, 0
0, 2, ShowProfile, Show vertical profile, Value_Type_sint32, 128
0, 3, ShowInfo, Show info, Value_Type_sint32, 128
0, 4, ShowFont, Show font, Value_Type_sint32, 128
0, 5, Cockpit, Cockpit Equipment, Value_Type_Object, 0
5, 6, DU1, Display Unit 1, Value_Type_Object, 0
6, 7, Display, Display failure, Value_Type_float32, 2
5, 8, DU2, Display Unit 2, Value_Type_Object, 0
8, 9, Display, Display failure, Value_Type_float32, 2
5, 10, DU3, Display Unit 3, Value_Type_Object, 0
10, 11, Display, Display failure, Value_Type_float32, 2
5, 12, DU4, Display Unit 4, Value_Type_Object, 0
12, 13, Display, Display failure, Value_Type_float32, 2
5, 14, DU5, Display Unit 5, Value_Type_Object, 0
14, 15, Display, Display failure, Value_Type_float32, 2
5, 16, DU6, Display Unit 6, Value_Type_Object, 0
16, 17, Display, Display failure, Value_Type_float32, 2
5, 18, MCDU1, Multipurpose Control and Display Unit 1, Value_Type_Object, 0
18, 19, Display, Display failure, Value_Type_float32, 2
18, 20, Line1, MCDU line select button 1, Value_Type_Object, 0
20, 21, Contacts, Button contacts failure, Value_Type_float32, 2
20, 22, Position, Button position, Value_Type_float32, 2
20, 23, Target, Button target, Value_Type_sint32, 2
20, 24, Click, Button click, Value_Type_sint32, 2
20, 25, State, Button state, Value_Type_sint32, 8
18, 26, Line2, MCDU line select button 2, Value_Type_Object, 0
26, 27, Contacts, Button contacts failure, Value_Type_float32, 2
26, 28, Position, Button position, Value_Type_float32, 2
26, 29, Target, Button target, Value_Type_sint32, 2
26, 30, Click, Button click, Value_Type_sint32, 2
26, 31, State, Button state, Value_Type_sint32, 8
18, 32, Line3, MCDU line select button 3, Value_Type_Object, 0
32, 33, Contacts, Button contacts failure, Value_Type_float32, 2
32, 34, Position, Button position, Value_Type_float32, 2
32, 35, Target, Button target, Value_Type_sint32, 2
